date,price,total_volume,market_cap,coin_name
2016-01-28,379.552,1144817695.523,5745544310.4,bitcoin
2016-01-29,378.912,1378222858.254,5737400248.8,bitcoin
2016-01-30,376.921,926767404.354,5709052772.55,bitcoin
2016-01-31,364.352,795209372.713,5520342696.0,bitcoin
2016-02-01,371.041,1028395380.882,5623172735.125,bitcoin
2016-02-02,372.868,669492000.729,5652529732.8,bitcoin
2016-02-03,368.124,701511710.557,5582278351.5,bitcoin
2016-02-04,388.376,1068491901.083,5891023099.6,bitcoin
2016-02-05,385.733,1099201402.327,5852736452.325,bitcoin
2016-02-06,374.905,979578026.004,5690251854.25,bitcoin
2016-02-07,375.517,551083226.543,5701239912.875,bitcoin
2016-02-08,371.136,542257471.059,5636117688.0,bitcoin
2016-02-09,373.909,465479007.437,5679902055.4,bitcoin
2016-02-10,379.829,814090887.706,5771368714.85,bitcoin
2016-02-11,377.058,503979335.12,5730998806.5,bitcoin
2016-02-12,382.72,658159244.5,5818750496.0,bitcoin
2016-02-13,390.424,740171994.725,5937412022.4,bitcoin
2016-02-14,404.144,1319015072.572,6147686974.0,bitcoin
2016-02-15,399.379,1388195099.847,6076721221.075,bitcoin
2016-02-16,407.013,1111797900.452,6194279970.375,bitcoin
2016-02-17,416.85,1296165324.176,6345582495.0,bitcoin
2016-02-18,421.422,1445224878.517,6417045471.75,bitcoin
2016-02-19,419.377,601898504.277,6387331882.925,bitcoin
2016-02-20,441.12,1385245439.875,6720209556.0,bitcoin
2016-02-21,438.65,1506908216.591,6684028071.25,bitcoin
2016-02-22,437.803,1166708341.42,6672478907.475,bitcoin
2016-02-23,420.302,1465084346.963,6407178255.95,bitcoin
2016-02-24,423.187,1457408415.894,6452416826.4,bitcoin
2016-02-25,423.142,1416389937.22,6453391534.75,bitcoin
2016-02-26,427.029,58325277.642,6514156583.4,bitcoin
2016-02-27,432.139,595150632.374,6593663289.8,bitcoin
2016-02-28,432.797,546124185.866,6605163875.275,bitcoin
2016-02-29,436.919,1847224330.9,6669535766.075,bitcoin
2016-03-01,431.371,2515777833.93,6586086153.8,bitcoin
2016-03-02,424.485,2052408228.79,6482862265.5,bitcoin
2016-03-03,420.171,2737847218.462,6418406144.7,bitcoin
2016-03-04,409.408,2408874554.407,6255529065.6,bitcoin
2016-03-05,397.241,2766255766.645,6071173237.35,bitcoin
2016-03-06,404.912,2521764887.179,6189869498.4,bitcoin
2016-03-07,413.74,2361080396.001,6326260439.5,bitcoin
2016-03-08,411.877,1845168034.278,6299329213.4,bitcoin
2016-03-09,412.319,1705210742.923,6307800373.65,bitcoin
2016-03-10,416.292,2166212980.422,6370256293.5,bitcoin
2016-03-11,419.299,2440375016.827,6417916283.7,bitcoin
2016-03-12,410.801,2292018374.444,6289332499.925,bitcoin
2016-03-13,412.495,1845648236.291,6316587496.875,bitcoin
2016-03-14,414.585,1803876534.274,6350177715.75,bitcoin
2016-03-15,415.641,2111129338.305,6367983805.875,bitcoin
2016-03-16,416.544,1895643174.073,6383495145.6,bitcoin
2016-03-17,418.4,1743173852.731,6413413020.0,bitcoin
2016-03-18,408.28,2438769296.168,6259667304.0,bitcoin
2016-03-19,406.739,1764836350.223,6237403575.85,bitcoin
2016-03-20,411.882,1440329762.295,6317806512.75,bitcoin
2016-03-21,411.091,2250456009.666,6307102003.85,bitcoin
2016-03-22,416.36,2041042449.985,6389481378.0,bitcoin
2016-03-23,418.076,1985257305.371,6417382984.8,bitcoin
2016-03-24,414.883,2021330255.051,6369854280.125,bitcoin
2016-03-25,415.743,1933831281.749,6384534070.275,bitcoin
2016-03-26,416.715,1604214632.406,6401148697.125,bitcoin
2016-03-27,425.349,2326287423.819,6535264076.775,bitcoin
2016-03-28,422.756,2155194925.885,6497115017.1,bitcoin
2016-03-29,415.547,2681866388.826,6388027423.525,bitcoin
2016-03-30,412.597,2387281658.233,6344204936.175,bitcoin
2016-03-31,415.366,1432304098.829,6388090244.55,bitcoin
2016-04-01,416.754,447338222.978,6410999713.95,bitcoin
2016-04-02,419.67,633704453.985,6457346880.75,bitcoin
2016-04-03,418.185,429476810.397,6435354873.375,bitcoin
2016-04-04,419.437,525611739.827,6456959980.95,bitcoin
2016-04-05,422.651,541558101.333,6508054061.925,bitcoin
2016-04-06,421.656,527136257.709,6494387877.6,bitcoin
